anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
42,19,11,199,2021-06-01,127
67,26,15,306,2021-06-02,198
83,14,13,277,2021-06-03,167
54,18,5,219,2021-06-04,142
2,0,0,5,2021-06-05,3
52,16,7,189,2021-06-06,114
101,44,17,381,2021-06-07,219
128,63,25,547,2021-06-08,331
89,36,12,374,2021-06-09,237
88,28,5,381,2021-06-10,260
124,27,15,449,2021-06-11,283
54,13,3,229,2021-06-12,159
91,23,12,415,2021-06-13,289
48,15,5,209,2021-06-14,141
39,9,2,121,2021-06-15,71
77,24,10,381,2021-06-16,270
43,20,10,239,2021-06-17,166
37,12,2,178,2021-06-18,127
135,43,44,584,2021-06-19,362
59,27,35,307,2021-06-20,186
72,15,12,296,2021-06-21,197
49,21,12,233,2021-06-22,151
70,31,32,369,2021-06-23,236
90,34,9,389,2021-06-24,256
43,18,9,229,2021-06-25,159
115,61,16,469,2021-06-26,277
218,59,8,651,2021-06-27,366
73,21,33,238,2021-06-28,111
193,91,24,649,2021-06-29,341
256,71,15,598,2021-06-30,256
295,82,9,729,2021-07-01,343
405,116,17,1009,2021-07-02,471
316,146,48,1113,2021-07-03,603
435,182,30,1380,2021-07-04,733
426,183,25,1244,2021-07-05,610
110,81,18,514,2021-07-06,305
233,216,28,1138,2021-07-07,661
78,20,3,215,2021-07-08,114
159,48,20,560,2021-07-09,333
138,58,11,499,2021-07-10,292
231,110,16,871,2021-07-11,514
216,111,27,827,2021-07-12,473
295,146,15,1089,2021-07-13,633
254,102,21,888,2021-07-14,511
166,84,18,667,2021-07-15,399
144,67,15,571,2021-07-16,345
312,135,26,1057,2021-07-17,584
122,104,87,653,2021-07-18,340
95,59,14,421,2021-07-19,253
170,71,5,575,2021-07-20,329
250,109,8,877,2021-07-21,510
303,130,21,1090,2021-07-22,636
226,182,14,1003,2021-07-23,581
303,163,17,1147,2021-07-24,664
277,166,32,1128,2021-07-25,653
307,196,33,1275,2021-07-26,739
236,168,49,1039,2021-07-27,586
157,82,42,686,2021-07-28,405
204,124,17,852,2021-07-29,507
125,89,16,524,2021-07-30,294
191,128,19,758,2021-07-31,420
240,138,23,926,2021-08-01,525
240,161,38,1024,2021-08-02,585
297,222,49,1282,2021-08-03,714
316,227,27,1380,2021-08-04,810
228,160,26,997,2021-08-05,583
101,57,4,446,2021-08-06,284
240,131,21,957,2021-08-07,565
175,121,16,726,2021-08-08,414
237,92,8,817,2021-08-09,480
221,123,15,848,2021-08-10,489
198,115,22,766,2021-08-11,431
344,160,23,1124,2021-08-12,597
233,97,25,853,2021-08-13,498
218,116,20,834,2021-08-14,480
282,136,18,1005,2021-08-15,569
206,99,24,779,2021-08-16,450
211,121,20,779,2021-08-17,427
174,118,27,797,2021-08-18,478
100,67,8,458,2021-08-19,283
247,158,33,1005,2021-08-20,567
339,210,36,1369,2021-08-21,784
264,175,33,1096,2021-08-22,624
274,139,34,993,2021-08-23,546
269,176,29,1116,2021-08-24,642
157,66,19,543,2021-08-25,301
152,82,12,609,2021-08-26,363
93,42,3,317,2021-08-27,179
58,30,2,220,2021-08-28,130
75,46,3,306,2021-08-29,182
349,223,42,1432,2021-08-30,818
337,220,46,1465,2021-08-31,862
147,57,12,512,2021-09-01,296
173,119,20,736,2021-09-02,424
197,95,16,759,2021-09-03,451
289,149,23,1036,2021-09-04,575
383,201,37,1478,2021-09-05,857
314,151,30,1220,2021-09-06,725
312,185,33,1213,2021-09-07,683
379,263,59,1688,2021-09-08,987
228,143,18,919,2021-09-09,530
277,198,44,1129,2021-09-10,610
217,140,21,927,2021-09-11,549
259,130,25,987,2021-09-12,573
331,140,78,1280,2021-09-13,731
234,153,62,1067,2021-09-14,618
282,157,76,1144,2021-09-15,629
322,147,39,1200,2021-09-16,692
200,90,26,759,2021-09-17,443
250,141,15,934,2021-09-18,528
243,120,28,965,2021-09-19,574
200,104,22,759,2021-09-20,433
281,108,24,979,2021-09-21,566
215,89,39,876,2021-09-22,533
272,112,41,884,2021-09-23,459
274,154,34,1008,2021-09-24,546
266,124,39,975,2021-09-25,546
216,87,55,777,2021-09-26,419
160,76,16,646,2021-09-27,394
146,88,23,569,2021-09-28,312
192,111,41,820,2021-09-29,476
181,142,38,865,2021-09-30,504
180,129,33,757,2021-10-01,415
265,142,48,1163,2021-10-02,708
207,84,50,816,2021-10-03,475
190,129,63,940,2021-10-04,558
198,73,35,762,2021-10-05,456
164,67,12,516,2021-10-06,273
288,101,24,980,2021-10-07,567
159,79,19,675,2021-10-08,418
222,118,39,918,2021-10-09,539
258,89,24,862,2021-10-10,491
170,90,22,667,2021-10-11,385
233,88,15,753,2021-10-12,417
147,70,20,575,2021-10-13,338
97,66,7,399,2021-10-14,229
131,75,16,497,2021-10-15,275
136,73,13,579,2021-10-16,357
179,110,24,659,2021-10-17,346
159,105,20,669,2021-10-18,385
133,73,11,545,2021-10-19,328
127,72,30,475,2021-10-20,246
146,53,30,552,2021-10-21,323
114,51,12,426,2021-10-22,249
132,64,10,464,2021-10-23,258
157,63,17,606,2021-10-24,369
194,108,30,713,2021-10-25,381
207,113,33,838,2021-10-26,485
172,144,47,895,2021-10-27,532
338,187,72,1422,2021-10-28,825
264,172,208,1283,2021-10-29,639
177,123,30,760,2021-10-30,430
360,117,53,1186,2021-10-31,656
268,108,35,1060,2021-11-01,649
369,171,52,1319,2021-11-02,727
205,117,30,862,2021-11-03,510
228,130,43,987,2021-11-04,586
330,173,57,1347,2021-11-05,787
268,163,40,1104,2021-11-06,633
265,111,31,973,2021-11-07,566
245,100,41,897,2021-11-08,511
224,59,36,775,2021-11-09,456
390,153,102,1546,2021-11-10,901
275,150,65,1124,2021-11-11,634
200,107,45,812,2021-11-12,460
249,155,53,1055,2021-11-13,598
196,143,34,929,2021-11-14,556
241,98,28,900,2021-11-15,533
211,104,98,911,2021-11-16,498
173,73,93,775,2021-11-17,436
336,191,148,1448,2021-11-18,773
224,118,42,825,2021-11-19,441
242,85,113,993,2021-11-20,553
273,127,162,1152,2021-11-21,590
219,112,167,1048,2021-11-22,550
199,84,111,832,2021-11-23,438
196,111,99,858,2021-11-24,452
180,46,100,769,2021-11-25,443
228,139,138,1122,2021-11-26,617
358,169,228,1542,2021-11-27,787
177,77,111,734,2021-11-28,369
332,162,172,1313,2021-11-29,647
168,99,79,799,2021-11-30,453
194,93,96,818,2021-12-01,435
237,134,153,1039,2021-12-02,515
155,73,23,690,2021-12-03,439
290,209,105,1399,2021-12-04,795
215,62,166,772,2021-12-05,329
219,78,81,818,2021-12-06,440
258,99,146,1010,2021-12-07,507
288,129,158,1134,2021-12-08,559
285,104,118,1099,2021-12-09,592
305,115,117,1171,2021-12-10,634
240,88,29,934,2021-12-11,577
410,172,166,1578,2021-12-12,830
199,160,161,965,2021-12-13,445
317,146,74,1197,2021-12-14,660
325,153,50,1209,2021-12-15,681
353,191,74,1424,2021-12-16,806
242,103,30,933,2021-12-17,558
319,134,52,1148,2021-12-18,643
228,88,54,891,2021-12-19,521
373,172,77,1601,2021-12-20,979
330,161,64,1259,2021-12-21,704
270,130,22,933,2021-12-22,511
273,127,29,1061,2021-12-23,632
486,171,76,1734,2021-12-24,1001
303,120,34,1037,2021-12-25,580
303,114,50,1105,2021-12-26,638
338,105,47,1157,2021-12-27,667
453,133,67,1540,2021-12-28,887
575,229,63,1965,2021-12-29,1098
274,105,24,885,2021-12-30,482
387,90,47,1273,2021-12-31,749
515,183,48,1725,2022-01-01,979
259,68,28,833,2022-01-02,478
334,121,32,1145,2022-01-03,658
272,96,32,932,2022-01-04,532
407,180,71,1561,2022-01-05,903
305,155,66,1187,2022-01-06,661
339,130,66,1268,2022-01-07,733
326,143,30,1304,2022-01-08,805
427,212,48,1687,2022-01-09,1000
411,152,51,1395,2022-01-10,781
442,160,56,1607,2022-01-11,949
375,156,44,1363,2022-01-12,788
452,165,45,1585,2022-01-13,923
337,169,43,1186,2022-01-14,637
292,145,52,1107,2022-01-15,618
388,110,53,1407,2022-01-16,856
334,177,36,1414,2022-01-17,867
373,165,42,1300,2022-01-18,720
256,160,51,1078,2022-01-19,611
381,182,37,1487,2022-01-20,887
306,287,57,1528,2022-01-21,878
357,348,20,1635,2022-01-22,910
259,240,51,1356,2022-01-23,806
283,327,49,1676,2022-01-24,1017
184,231,56,1096,2022-01-25,625
232,311,29,1385,2022-01-26,813
148,285,29,1255,2022-01-27,793
189,265,43,1312,2022-01-28,815
302,301,64,1795,2022-01-29,1128
237,325,41,1393,2022-01-30,790
184,213,45,1098,2022-01-31,656
