anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
363,155,76,1638,2021-06-01,1044
418,172,96,1741,2021-06-02,1055
401,166,82,1641,2021-06-03,992
406,170,136,1885,2021-06-04,1173
47,14,0,112,2021-06-05,51
617,367,128,2551,2021-06-06,1439
666,365,110,2547,2021-06-07,1406
827,450,191,3418,2021-06-08,1950
706,298,181,2873,2021-06-09,1688
1236,320,34,4011,2021-06-10,2421
569,195,77,2073,2021-06-11,1232
591,176,59,2183,2021-06-12,1357
547,212,74,2308,2021-06-13,1475
659,266,55,2629,2021-06-14,1649
304,106,38,1134,2021-06-15,686
469,187,86,2120,2021-06-16,1378
414,205,172,2157,2021-06-17,1366
358,101,10,1364,2021-06-18,895
761,360,252,3447,2021-06-19,2074
570,236,362,2794,2021-06-20,1626
460,182,178,1969,2021-06-21,1149
504,246,116,2405,2021-06-22,1539
429,255,224,2188,2021-06-23,1280
548,231,112,2364,2021-06-24,1473
414,184,71,2042,2021-06-25,1373
972,498,108,3576,2021-06-26,1998
1780,631,134,4716,2021-06-27,2171
720,220,167,1960,2021-06-28,853
1819,775,182,5145,2021-06-29,2369
2168,684,148,4959,2021-06-30,1959
2568,722,40,5295,2021-07-01,1965
3215,1038,161,7419,2021-07-02,3005
2522,1186,261,7949,2021-07-03,3980
3976,1668,259,11156,2021-07-04,5253
3226,1431,188,8416,2021-07-05,3571
747,667,143,3442,2021-07-06,1885
1724,2054,276,9070,2021-07-07,5016
483,164,17,1433,2021-07-08,769
988,448,144,3482,2021-07-09,1902
939,462,149,3382,2021-07-10,1832
1915,1027,272,6840,2021-07-11,3626
1571,1039,251,6344,2021-07-12,3483
2504,1230,166,8705,2021-07-13,4805
1763,938,155,6330,2021-07-14,3474
1602,899,113,5608,2021-07-15,2994
1378,780,146,5312,2021-07-16,3008
3105,1389,251,9634,2021-07-17,4889
879,947,435,4396,2021-07-18,2135
898,598,73,3530,2021-07-19,1961
1219,694,32,4224,2021-07-20,2279
2154,1153,79,7579,2021-07-21,4193
2133,1354,110,8002,2021-07-22,4405
1791,1528,98,7346,2021-07-23,3929
2206,1737,156,8868,2021-07-24,4769
2101,1589,234,8578,2021-07-25,4654
2195,1886,330,9470,2021-07-26,5059
1449,1189,391,6465,2021-07-27,3436
1023,809,345,4859,2021-07-28,2682
1811,1155,164,7337,2021-07-29,4207
680,798,93,3284,2021-07-30,1713
1465,1006,299,5751,2021-07-31,2981
1793,1210,353,7246,2021-08-01,3890
1909,1445,351,7912,2021-08-02,4207
2121,1816,419,9309,2021-08-03,4953
2244,1855,261,9659,2021-08-04,5299
1566,1269,193,6840,2021-08-05,3812
1010,661,41,4147,2021-08-06,2435
1528,1229,178,6621,2021-08-07,3686
1597,1047,161,6164,2021-08-08,3359
1972,1014,111,6862,2021-08-09,3765
1806,1280,118,6997,2021-08-10,3793
1563,906,199,5789,2021-08-11,3121
2197,1330,155,7660,2021-08-12,3978
1839,944,160,6597,2021-08-13,3654
1856,1124,139,7135,2021-08-14,4016
2125,1324,110,8091,2021-08-15,4532
1351,864,158,5252,2021-08-16,2879
1687,1300,177,7023,2021-08-17,3859
1526,1031,212,6439,2021-08-18,3670
991,658,86,4000,2021-08-19,2265
1618,1246,159,6756,2021-08-20,3733
2621,1882,236,10460,2021-08-21,5721
1912,1470,213,8077,2021-08-22,4482
1786,1292,253,7282,2021-08-23,3951
1965,1490,320,8220,2021-08-24,4445
1320,865,142,5208,2021-08-25,2881
1482,859,76,5601,2021-08-26,3184
856,526,25,3368,2021-08-27,1961
556,385,18,2298,2021-08-28,1339
526,405,17,2187,2021-08-29,1239
2795,2128,326,11540,2021-08-30,6291
2437,1744,273,9724,2021-08-31,5270
1228,776,234,5094,2021-09-01,2856
1385,1105,139,5933,2021-09-02,3304
1899,1121,189,7751,2021-09-03,4542
2514,1574,268,10149,2021-09-04,5793
3029,2257,321,12772,2021-09-05,7165
2498,1487,234,9658,2021-09-06,5439
2497,1723,278,9974,2021-09-07,5476
2726,2284,463,11826,2021-09-08,6353
2025,1702,166,9093,2021-09-09,5200
1795,1764,380,8480,2021-09-10,4541
2057,1644,347,9496,2021-09-11,5448
2235,1401,295,10006,2021-09-12,6075
2390,1793,607,10711,2021-09-13,5921
1774,1570,504,8491,2021-09-14,4643
1943,1698,479,9301,2021-09-15,5181
2051,1330,272,7786,2021-09-16,4133
1820,1138,198,7442,2021-09-17,4286
