anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
16,13,4,56,2021-06-01,23
34,15,5,96,2021-06-02,42
20,21,6,84,2021-06-03,37
6,5,0,34,2021-06-04,23
19,20,2,56,2021-06-06,15
44,35,4,133,2021-06-07,50
44,36,7,156,2021-06-08,69
37,19,2,102,2021-06-09,44
39,21,3,129,2021-06-10,66
39,28,6,127,2021-06-11,54
8,6,0,38,2021-06-12,24
25,15,2,122,2021-06-13,80
22,14,1,57,2021-06-14,20
16,9,4,51,2021-06-15,22
30,10,1,106,2021-06-16,65
21,9,4,70,2021-06-17,36
23,9,0,75,2021-06-18,43
41,31,18,162,2021-06-19,72
15,14,12,69,2021-06-20,28
28,12,8,85,2021-06-21,37
16,15,3,65,2021-06-22,31
24,19,14,108,2021-06-23,51
36,12,4,117,2021-06-24,65
18,17,0,71,2021-06-25,36
40,36,7,154,2021-06-26,71
62,28,4,176,2021-06-27,82
17,10,8,48,2021-06-28,13
68,41,8,183,2021-06-29,66
91,36,9,186,2021-06-30,50
104,49,1,203,2021-07-01,49
143,57,10,302,2021-07-02,92
132,88,15,336,2021-07-03,101
181,85,13,406,2021-07-04,127
154,90,8,341,2021-07-05,89
31,49,9,140,2021-07-06,51
92,119,10,339,2021-07-07,118
21,20,2,62,2021-07-08,19
54,36,9,150,2021-07-09,51
58,33,8,151,2021-07-10,52
101,72,11,274,2021-07-11,90
74,58,13,222,2021-07-12,77
129,69,9,315,2021-07-13,108
101,66,7,259,2021-07-14,85
74,42,2,179,2021-07-15,61
69,30,3,157,2021-07-16,55
137,54,7,307,2021-07-17,109
60,49,31,204,2021-07-18,64
46,26,6,115,2021-07-19,37
80,39,1,169,2021-07-20,49
105,53,1,245,2021-07-21,86
132,77,3,326,2021-07-22,114
86,85,0,266,2021-07-23,95
127,99,4,334,2021-07-24,104
106,96,5,321,2021-07-25,114
134,98,13,363,2021-07-26,118
94,89,13,310,2021-07-27,114
69,48,9,194,2021-07-28,68
80,59,4,247,2021-07-29,104
46,53,5,163,2021-07-30,59
65,51,17,197,2021-07-31,64
87,77,11,265,2021-08-01,90
90,86,18,295,2021-08-02,101
119,112,24,370,2021-08-03,115
117,121,8,403,2021-08-04,157
87,85,13,272,2021-08-05,87
44,32,0,138,2021-08-06,62
99,86,5,292,2021-08-07,102
71,45,4,182,2021-08-08,62
93,48,1,231,2021-08-09,89
72,85,4,255,2021-08-10,94
71,60,10,218,2021-08-11,77
112,81,4,317,2021-08-12,120
86,57,9,241,2021-08-13,89
95,62,2,245,2021-08-14,86
113,78,2,315,2021-08-15,122
66,50,3,195,2021-08-16,76
87,57,4,225,2021-08-17,77
76,56,10,232,2021-08-18,90
47,27,1,123,2021-08-19,48
98,71,9,301,2021-08-20,123
145,105,14,384,2021-08-21,120
98,102,11,332,2021-08-22,121
103,74,7,287,2021-08-23,103
102,96,10,302,2021-08-24,94
55,41,1,152,2021-08-25,55
63,42,3,171,2021-08-26,63
35,21,0,91,2021-08-27,35
28,14,0,66,2021-08-28,24
27,29,0,85,2021-08-29,29
141,130,15,434,2021-08-30,148
150,85,15,407,2021-08-31,157
51,29,5,130,2021-09-01,45
72,56,8,223,2021-09-02,87
75,58,10,218,2021-09-03,75
106,70,5,297,2021-09-04,116
137,125,14,429,2021-09-05,153
142,75,3,361,2021-09-06,141
120,96,12,358,2021-09-07,130
147,146,16,463,2021-09-08,154
94,71,3,262,2021-09-09,94
99,88,15,333,2021-09-10,131
90,81,7,259,2021-09-11,81
87,78,4,296,2021-09-12,127
117,89,24,358,2021-09-13,128
86,104,17,320,2021-09-14,113
81,92,24,336,2021-09-15,139
112,96,11,343,2021-09-16,124
90,49,5,240,2021-09-17,96
88,68,3,272,2021-09-18,113
96,86,8,274,2021-09-19,84
82,49,8,230,2021-09-20,91
98,70,6,267,2021-09-21,93
85,73,14,274,2021-09-22,102
96,62,9,259,2021-09-23,92
75,98,11,276,2021-09-24,92
96,66,17,282,2021-09-25,103
69,49,16,224,2021-09-26,90
62,63,1,183,2021-09-27,57
46,51,8,179,2021-09-28,74
74,64,14,226,2021-09-29,74
73,81,15,258,2021-09-30,89
71,60,8,224,2021-10-01,85
90,100,11,324,2021-10-02,123
81,58,8,241,2021-10-03,94
67,70,16,271,2021-10-04,118
69,57,8,199,2021-10-05,65
65,44,3,177,2021-10-06,65
104,65,6,278,2021-10-07,103
42,73,14,199,2021-10-08,70
82,58,14,267,2021-10-09,113
81,65,8,236,2021-10-10,82
70,47,9,205,2021-10-11,79
72,59,4,212,2021-10-12,77
41,54,4,151,2021-10-13,52
42,37,0,132,2021-10-14,53
50,48,3,148,2021-10-15,47
47,55,5,170,2021-10-16,63
86,41,6,203,2021-10-17,70
54,49,10,173,2021-10-18,60
57,40,3,161,2021-10-19,61
39,39,5,136,2021-10-20,53
53,38,8,143,2021-10-21,44
48,35,1,132,2021-10-22,48
42,40,2,140,2021-10-23,56
