anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
3,1,0,25,2021-06-01,21
2,0,0,2,2021-06-02,0
7,0,1,23,2021-06-03,15
4,0,1,22,2021-06-04,17
0,0,0,1,2021-06-05,1
3,1,0,26,2021-06-06,22
5,2,0,17,2021-06-07,10
8,1,1,45,2021-06-08,35
1,2,0,35,2021-06-09,32
3,1,0,21,2021-06-10,17
5,0,0,21,2021-06-11,16
4,1,0,38,2021-06-12,33
1,1,0,17,2021-06-13,15
5,0,0,26,2021-06-14,21
4,0,1,8,2021-06-15,3
4,0,0,23,2021-06-16,19
0,2,0,27,2021-06-17,25
0,0,0,5,2021-06-18,5
5,2,2,39,2021-06-19,30
1,1,5,39,2021-06-20,32
4,1,0,17,2021-06-21,12
3,2,0,24,2021-06-22,19
2,0,0,12,2021-06-23,10
8,0,3,46,2021-06-24,35
0,1,0,22,2021-06-25,21
19,1,0,44,2021-06-26,24
22,2,0,55,2021-06-27,31
3,2,0,24,2021-06-28,19
18,1,1,50,2021-06-29,30
17,4,0,46,2021-06-30,25
22,1,0,49,2021-07-01,26
32,5,2,97,2021-07-02,58
26,6,1,115,2021-07-03,82
34,7,0,112,2021-07-04,71
36,4,0,101,2021-07-05,61
12,4,0,53,2021-07-06,37
17,7,0,92,2021-07-07,68
2,1,1,18,2021-07-08,14
6,1,1,31,2021-07-09,23
11,1,4,55,2021-07-10,39
20,4,0,79,2021-07-11,55
9,4,0,58,2021-07-12,45
24,3,0,98,2021-07-13,71
19,3,1,77,2021-07-14,54
11,3,0,56,2021-07-15,42
6,3,0,42,2021-07-16,33
24,3,1,89,2021-07-17,61
8,3,8,55,2021-07-18,36
7,2,0,28,2021-07-19,19
9,4,0,52,2021-07-20,39
19,4,0,81,2021-07-21,58
19,2,0,77,2021-07-22,56
16,5,0,96,2021-07-23,75
19,7,0,95,2021-07-24,69
19,4,1,85,2021-07-25,61
21,8,3,119,2021-07-26,87
11,5,2,72,2021-07-27,54
8,3,2,55,2021-07-28,42
16,4,0,88,2021-07-29,68
7,1,0,25,2021-07-30,17
10,3,1,74,2021-07-31,60
16,3,2,78,2021-08-01,57
17,3,1,81,2021-08-02,60
21,12,0,117,2021-08-03,84
16,6,0,98,2021-08-04,76
12,6,2,83,2021-08-05,63
13,0,0,57,2021-08-06,44
7,5,1,53,2021-08-07,40
12,0,0,69,2021-08-08,57
13,6,0,67,2021-08-09,48
17,4,0,82,2021-08-10,61
14,5,1,74,2021-08-11,54
13,4,1,69,2021-08-12,51
16,6,1,80,2021-08-13,57
14,2,0,87,2021-08-14,71
13,4,0,69,2021-08-15,52
10,1,0,58,2021-08-16,47
10,7,0,66,2021-08-17,49
11,2,1,72,2021-08-18,58
6,3,1,40,2021-08-19,30
10,5,2,64,2021-08-20,47
20,8,2,124,2021-08-21,94
23,5,0,113,2021-08-22,85
10,2,1,60,2021-08-23,47
13,3,3,94,2021-08-24,75
9,4,0,52,2021-08-25,39
11,1,0,55,2021-08-26,43
5,1,0,29,2021-08-27,23
4,1,0,22,2021-08-28,17
