anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
1405,206,109,14054,2021-11-10,12334
1349,200,71,12536,2021-11-11,10916
1404,208,116,14574,2021-11-12,12846
1501,252,133,15259,2021-11-13,13373
1376,199,110,14357,2021-11-14,12672
1495,234,167,14142,2021-11-15,12246
1539,233,230,15229,2021-11-16,13227
1386,223,187,13682,2021-11-17,11886
1361,202,147,13574,2021-11-18,11864
1342,209,131,12356,2021-11-19,10674
1307,199,152,13741,2021-11-20,12083
1464,232,193,14719,2021-11-21,12830
1275,192,165,13306,2021-11-22,11674
1417,234,300,13908,2021-11-23,11957
1412,226,235,13866,2021-11-24,11993
1193,192,176,12219,2021-11-25,10658
1276,186,378,12659,2021-11-26,10819
1267,200,187,11980,2021-11-27,10326
1392,208,497,14603,2021-11-28,12506
1366,214,514,14381,2021-11-29,12287
1272,176,135,12940,2021-11-30,11357
1399,225,162,13454,2021-12-01,11668
1462,223,158,14080,2021-12-02,12237
1836,269,270,18778,2021-12-03,16403
1833,265,187,19637,2021-12-04,17352
2032,322,248,21724,2021-12-05,19122
1975,294,241,21641,2021-12-06,19131
2202,346,298,24396,2021-12-07,21550
2984,450,579,35360,2021-12-08,31347
2884,460,737,35026,2021-12-09,30945
2815,457,1073,33057,2021-12-10,28712
2801,421,949,31642,2021-12-11,27471
3013,414,736,33785,2021-12-12,29622
2672,446,634,31409,2021-12-13,27657
1672,297,486,23487,2021-12-14,21032
1777,316,613,24745,2021-12-15,22039
1607,283,624,22947,2021-12-16,20433
1780,286,648,23434,2021-12-17,20720
1791,277,613,23361,2021-12-18,20680
1868,318,580,25473,2021-12-19,22707
1743,250,600,24725,2021-12-20,22132
1663,277,543,23169,2021-12-21,20686
1627,288,634,24261,2021-12-22,21712
1756,324,613,25055,2021-12-23,22362
1719,282,638,24323,2021-12-24,21684
1884,305,717,25469,2021-12-25,22563
1908,303,576,25071,2021-12-26,22284
1808,312,639,25371,2021-12-27,22612
1451,227,548,20649,2021-12-28,18423
1598,248,559,22767,2021-12-29,20362
1699,257,527,23584,2021-12-30,21101
1600,257,622,22612,2021-12-31,20133
1458,206,564,21239,2022-01-01,19011
1609,259,660,22344,2022-01-02,19816
1420,240,595,19486,2022-01-03,17231
1628,268,530,21237,2022-01-04,18811
1658,225,601,22597,2022-01-05,20113
