anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
8968,3542,565,95551,2021-11-10,82476
8530,3522,600,91443,2021-11-11,78791
8547,3515,620,92638,2021-11-12,79956
7929,3672,379,91596,2021-11-13,79616
7866,3430,354,91264,2021-11-14,79614
8177,3535,569,89989,2021-11-15,77708
8664,3699,739,95661,2021-11-16,82559
8302,3531,658,91093,2021-11-17,78602
8259,3391,615,90856,2021-11-18,78591
8617,3430,791,89286,2021-11-19,76448
8023,3162,725,85264,2021-11-20,73354
7854,3555,525,88457,2021-11-21,76523
7459,3268,623,84776,2021-11-22,73426
7829,3452,1027,86566,2021-11-23,74258
7787,3345,941,85636,2021-11-24,73563
6849,3078,749,80088,2021-11-25,69412
7754,3180,1647,84502,2021-11-26,71921
7956,3317,1143,86684,2021-11-27,74268
8189,3284,1825,89015,2021-11-28,75717
7815,3504,1573,87630,2021-11-29,74738
7477,3195,559,83778,2021-11-30,72547
7679,3344,451,84429,2021-12-01,72955
7989,3470,482,87679,2021-12-02,75738
9772,3790,1076,115973,2021-12-03,101335
10084,3789,934,121122,2021-12-04,106315
11600,4349,1158,139042,2021-12-05,121935
10785,4009,1168,126627,2021-12-06,110665
11049,4463,1352,140552,2021-12-07,123688
15997,6716,3382,211469,2021-12-08,185374
15948,6291,3733,213020,2021-12-09,187048
15034,6170,5919,201548,2021-12-10,174425
14850,5672,5095,191658,2021-12-11,166041
16087,5745,3651,205624,2021-12-12,180141
14903,5627,3407,197062,2021-12-13,173125
9039,3333,3098,134941,2021-12-14,119471
9333,3968,3032,143307,2021-12-15,126974
9230,3874,3191,134776,2021-12-16,118481
9833,3872,3238,142132,2021-12-17,125189
9638,3821,3539,142589,2021-12-18,125591
9949,3940,3227,152449,2021-12-19,135333
9580,3382,3044,148398,2021-12-20,132392
9507,3505,3092,145598,2021-12-21,129494
9157,3539,3175,140961,2021-12-22,125090
8899,3658,2980,143216,2021-12-23,127679
9061,4071,3364,141486,2021-12-24,124990
10032,3936,3554,155088,2021-12-25,137566
10192,4220,3283,154304,2021-12-26,136609
9819,3875,3276,151089,2021-12-27,134119
7961,3079,2656,123293,2021-12-28,109597
9384,3520,3009,143606,2021-12-29,127693
9412,3223,3066,137670,2021-12-30,121969
8179,2993,2864,128733,2021-12-31,114697
7828,3180,3148,122734,2022-01-01,108578
8833,3309,3226,134601,2022-01-02,119233
8258,3082,3072,121868,2022-01-03,107456
8717,3215,2842,126631,2022-01-04,111857
9909,3354,2946,136310,2022-01-05,120101
9482,3100,3105,139923,2022-01-06,124236
9011,2838,3313,129858,2022-01-07,114696
9171,3249,3101,137116,2022-01-08,121595
10139,4040,3345,145922,2022-01-09,128398
9784,3346,3097,134233,2022-01-10,118006
10065,3780,3076,143451,2022-01-11,126530
9311,3446,3163,133524,2022-01-12,117604
9953,3729,3356,147480,2022-01-13,130442
9072,3412,3538,138851,2022-01-14,122829
9192,3204,3397,136753,2022-01-15,120960
8944,3565,3223,141430,2022-01-16,125698
10231,4251,3571,146427,2022-01-17,128374
9598,3555,3314,134356,2022-01-18,117889
9339,3514,3391,132501,2022-01-19,116257
9380,3402,3075,134120,2022-01-20,118263
9803,3375,3335,140991,2022-01-21,124478
8546,3180,3208,133000,2022-01-22,118066
9106,3392,3622,138521,2022-01-23,122401
9516,3206,3235,148539,2022-01-24,132582
9506,4088,3354,142307,2022-01-25,125359
12727,3394,3208,159955,2022-01-26,140626
10489,3490,3387,127269,2022-01-27,109903
7628,3028,2940,118685,2022-01-28,105089
6857,2538,3116,111632,2022-01-29,99121
8099,3042,3154,123927,2022-01-30,109632
9059,3112,3273,134189,2022-01-31,118745
7268,2720,2988,119765,2022-02-01,106789
8716,4014,3004,130273,2022-02-02,114539
9905,2759,2637,121698,2022-02-03,106397
10817,3545,3409,126816,2022-02-04,109045
9136,3596,3098,137900,2022-02-05,122070
8921,3131,2862,132023,2022-02-06,117109
8158,3118,2678,121887,2022-02-07,107933
8095,2622,2590,121383,2022-02-08,108076
8095,2973,2718,128039,2022-02-09,114253
9401,3871,3007,127025,2022-02-10,110746
10641,3028,2754,128183,2022-02-11,111760
9861,3156,3122,113970,2022-02-12,97831
8555,3441,3009,128103,2022-02-13,113098
9127,3351,2712,125846,2022-02-14,110656
7017,2701,2355,104762,2022-02-15,92689
7892,2530,2777,112835,2022-02-16,99636
7838,2642,2760,114315,2022-02-17,101075
8667,3861,2646,118273,2022-02-18,103099
8601,2318,3640,109208,2022-02-19,94649
10252,3235,4222,114982,2022-02-20,97273
8622,3271,3662,117521,2022-02-21,101966
7187,2490,4674,110298,2022-02-22,95947
7984,2954,3289,121811,2022-02-23,107584
10113,3174,3039,141134,2022-02-24,124808
9615,3140,3349,139099,2022-02-25,122995
9885,3882,3596,133487,2022-02-26,116124
11099,2637,3188,133369,2022-02-27,116445
12312,3377,3392,124187,2022-02-28,105106
11238,3428,4902,139947,2022-03-01,120379
12711,3577,2998,151749,2022-03-02,132463
10998,3265,2958,133234,2022-03-03,116013
14624,3088,4068,150473,2022-03-04,128693
14377,3582,3839,148947,2022-03-05,127149
15889,4462,3755,151478,2022-03-06,127372
15328,2702,3504,135737,2022-03-07,114203
17404,3576,3173,140014,2022-03-08,115861
14426,3254,3648,144342,2022-03-09,123014
16845,3298,2798,160982,2022-03-10,138041
13846,2782,2557,130337,2022-03-11,111152
15937,2345,2758,139362,2022-03-12,118322
16849,2631,3182,149479,2022-03-13,126817
21724,4235,3557,169419,2022-03-14,139903
20282,2537,4629,146783,2022-03-15,119335
23668,3924,3782,172561,2022-03-16,141187
19024,3060,3142,139498,2022-03-17,114272
20641,2704,2901,147655,2022-03-18,121409
18117,3306,3407,139050,2022-03-19,114220
18412,2554,2962,139804,2022-03-20,115876
16431,2724,2860,136974,2022-03-21,114959
14851,3128,2295,110412,2022-03-22,90138
14376,1679,1975,96904,2022-03-23,78874
20920,3126,2459,135724,2022-03-24,109219
15694,3177,2306,128074,2022-03-25,106897
17931,3504,3165,148082,2022-03-26,123482
19339,4110,5195,162532,2022-03-27,133888
15990,2747,4396,126786,2022-03-28,103653
18604,3298,4728,145816,2022-03-29,119186
16904,3834,5374,129207,2022-03-30,103095
21132,2959,5957,151921,2022-03-31,121873
21587,3858,4759,151943,2022-04-01,121739
16742,3894,3403,145369,2022-04-02,121330
17162,3295,4436,144654,2022-04-03,119761
17164,3626,2759,142234,2022-04-04,118685
16399,2593,2601,128376,2022-04-05,106783
17970,3273,2987,141953,2022-04-06,117723
20484,4401,3142,148774,2022-04-07,120747
16800,2283,2850,120730,2022-04-08,98797
19049,3311,3427,131857,2022-04-09,106070
15206,3328,2743,130996,2022-04-10,109719
16480,3045,3299,135092,2022-04-11,112268
16739,3211,2623,132628,2022-04-12,110055
15897,2350,2914,128434,2022-04-13,107273
16237,2459,2508,126165,2022-04-14,104961
17868,3864,2929,129329,2022-04-15,104668
15528,2120,2847,110437,2022-04-16,89942
19251,2977,3067,122730,2022-04-17,97435
16481,3067,3025,128872,2022-04-18,106299
16928,2938,2813,132061,2022-04-19,109382
15576,2943,2868,121574,2022-04-20,100187
16059,2569,2994,123144,2022-04-21,101522
15157,2313,2825,109967,2022-04-22,89672
15965,3298,3299,113360,2022-04-23,90798
16455,2588,3220,118553,2022-04-24,96290
18247,2943,3326,117827,2022-04-25,93311
12406,2719,2736,100644,2022-04-26,82783
14650,2454,2535,110660,2022-04-27,91021
15474,3222,2621,117787,2022-04-28,96470
16517,2812,2365,123517,2022-04-29,101823
16647,2948,2560,124175,2022-04-30,102020
16681,3392,3328,117738,2022-05-01,94337
17110,2516,3796,125414,2022-05-02,101992
19560,3508,4737,132460,2022-05-03,104655
15179,3132,4296,122065,2022-05-04,99458
16324,2910,4564,123498,2022-05-05,99700
14847,2865,3980,112955,2022-05-06,91263
14135,2318,4282,110043,2022-05-07,89308
13193,2070,4603,105070,2022-05-08,85204
12481,2374,2603,91870,2022-05-09,74412
15568,2087,3376,107078,2022-05-10,86047
20530,3221,3674,129904,2022-05-11,102479
18833,3585,3773,143307,2022-05-12,117116
16362,3002,2483,126108,2022-05-13,104261
16007,2920,2631,125243,2022-05-14,103685
14581,2200,2418,112674,2022-05-15,93475
15521,2641,2387,119614,2022-05-16,99065
17055,3502,2352,122713,2022-05-17,99804
16548,2504,2063,119609,2022-05-18,98494
18073,2793,2079,119574,2022-05-19,96629
13275,2636,1925,106751,2022-05-20,88915
13546,2245,2436,108010,2022-05-21,89783
15273,2711,2525,119006,2022-05-22,98497
13796,1977,2368,103561,2022-05-23,85420
14146,2160,2044,105347,2022-05-24,86997
15516,3013,2264,108120,2022-05-25,87327
15666,2316,2019,114492,2022-05-26,94491
15025,2451,2040,98799,2022-05-27,79283
10171,2003,1866,83632,2022-05-28,69592
12441,1734,2038,96028,2022-05-29,79815
12745,2362,2982,99813,2022-05-30,81724
13389,2117,1979,99656,2022-05-31,82171
12275,1738,1982,92432,2022-06-01,76437
13602,2857,2380,95122,2022-06-02,76283
12605,1968,1701,94762,2022-06-03,78488
15193,2772,2570,104002,2022-06-04,83467
12226,2422,2272,101416,2022-06-05,84496
13937,2466,2351,107283,2022-06-06,88529
13705,2653,2339,102704,2022-06-07,84007
14644,2121,2394,105323,2022-06-08,86164
13918,2250,2172,104302,2022-06-09,85962
15557,2948,2750,105056,2022-06-10,83801
14134,1497,2174,106305,2022-06-11,88500
17444,2322,2512,105790,2022-06-12,83512
12842,2076,2662,99176,2022-06-13,81596
13604,1827,3162,104139,2022-06-14,85546
14039,2010,3164,97678,2022-06-15,78465
14051,1893,3834,101100,2022-06-16,81322
13833,1914,2698,104929,2022-06-17,86484
14041,2368,3195,93726,2022-06-18,74122
12989,1341,3638,97160,2022-06-19,79192
15924,1904,2936,98184,2022-06-20,77420
10777,1688,2854,87955,2022-06-21,72636
13557,1024,2564,101279,2022-06-22,84134
12378,1381,4594,93175,2022-06-23,74822
12494,1266,3107,89790,2022-06-24,72923
9498,921,3005,68180,2022-06-25,54756
10669,1625,4028,78190,2022-06-26,61868
14008,1806,2004,96503,2022-06-27,78685
13188,1842,2306,93448,2022-06-28,76112
13481,1832,3250,98760,2022-06-29,80197
13331,1746,2122,92013,2022-06-30,74814
12453,1488,2358,87736,2022-07-01,71437
12705,1589,3085,90700,2022-07-02,73321
11899,1123,2524,86700,2022-07-03,71154
11095,1093,2052,77330,2022-07-04,63090
11583,1192,4044,83940,2022-07-05,67121
11006,1215,2150,77118,2022-07-06,62747
10570,1235,1503,72619,2022-07-07,59311
11629,1441,2425,85597,2022-07-08,70102
10454,1277,2808,75342,2022-07-09,60803
11617,1797,3445,87123,2022-07-10,70264
12753,1478,1877,85165,2022-07-11,69057
10632,1427,1847,78811,2022-07-12,64905
11508,1507,2650,83063,2022-07-13,67398
9653,1097,3008,69508,2022-07-14,55750
9975,1075,2642,73661,2022-07-15,59969
10442,1216,2479,77089,2022-07-16,62952
12086,1335,3224,84903,2022-07-17,68258
11933,1351,2017,85034,2022-07-18,69733
12226,1895,1791,92338,2022-07-19,76426
8988,1047,1629,68589,2022-07-20,56925
8045,880,1597,60323,2022-07-21,49801
7615,949,1185,57167,2022-07-22,47418
8604,845,2442,70127,2022-07-23,58236
8609,1255,1952,64896,2022-07-24,53080
8902,1183,2437,66090,2022-07-25,53568
9495,1415,2353,72953,2022-07-26,59690
7666,1109,1654,58394,2022-07-27,47965
9164,988,2611,70580,2022-07-28,57817
10174,1343,2569,78146,2022-07-29,64060
9833,1268,2729,77132,2022-07-30,63302
10946,1113,2329,77962,2022-07-31,63574
10567,1712,2389,77649,2022-08-01,62981
9448,1136,3094,70170,2022-08-02,56492
11230,1300,1783,76607,2022-08-03,62294
9832,1264,1979,69052,2022-08-04,55977
10812,1159,2030,75392,2022-08-05,61391
11025,1119,2479,71326,2022-08-06,56703
11636,1322,2598,83928,2022-08-07,68372
11375,1465,2277,77746,2022-08-08,62629
14644,1197,2679,73899,2022-08-09,55379
12999,973,2200,64540,2022-08-10,48368
11104,1198,2952,74945,2022-08-11,59691
11913,1419,2068,79628,2022-08-12,64228
12288,1631,2712,84651,2022-08-13,68020
12072,1637,1902,75448,2022-08-14,59837
11650,1513,1996,71044,2022-08-15,55885
12904,1512,3687,80431,2022-08-16,62328
10304,1139,3514,68014,2022-08-17,53057
12383,1364,4921,82914,2022-08-18,64246
13304,1507,4672,85369,2022-08-19,65886
12013,1227,4111,82315,2022-08-20,64964
15829,830,4822,77610,2022-08-21,56129
13116,1307,3878,83737,2022-08-22,65436
14240,1096,3879,85439,2022-08-23,66224
13475,1049,3854,83532,2022-08-24,65154
13400,1327,3326,87217,2022-08-25,69164
12881,1354,4114,83791,2022-08-26,65442
11614,1008,3520,77842,2022-08-27,61700
12039,1332,3991,75108,2022-08-28,57746
12802,1193,3040,80015,2022-08-29,62980
12599,1103,3640,77836,2022-08-30,60494
15430,1337,4053,86973,2022-08-31,66153
12616,1387,3678,79794,2022-09-01,62113
14176,1648,3472,85029,2022-09-02,65733
11463,954,3475,69591,2022-09-03,53699
13284,1314,3732,77984,2022-09-04,59654
13857,1276,4442,81392,2022-09-05,61817
11931,950,3380,73544,2022-09-06,57283
14155,1098,3612,74027,2022-09-07,55162
13813,1097,2893,74293,2022-09-08,56490
13076,1178,4013,79118,2022-09-09,60851
12418,1059,3706,74569,2022-09-10,57386
11882,1118,3876,70088,2022-09-11,53212
11636,1176,3001,74954,2022-09-12,59141
12072,1101,4036,64803,2022-09-13,47594
11841,1003,2527,69903,2022-09-14,54532
12345,1116,3808,77996,2022-09-15,60727
10378,775,3511,78221,2022-09-16,63557
10718,752,4446,79473,2022-09-17,63557
14367,1086,3834,83589,2022-09-18,64302
14404,1103,3566,88567,2022-09-19,69494
14986,1179,3784,82543,2022-09-20,62594
13550,1186,3057,77104,2022-09-21,59311
12476,947,2921,71062,2022-09-22,54718
13011,1282,4126,74207,2022-09-23,55788
10083,841,3106,65241,2022-09-24,51211
8137,608,3883,68783,2022-09-25,56155
10856,916,3630,71059,2022-09-26,55657
11359,995,4344,72926,2022-09-27,56228
10380,1003,3195,72000,2022-09-28,57422
11141,1118,3047,66536,2022-09-29,51230
10862,1261,2606,68258,2022-09-30,53529
10256,844,2882,67025,2022-10-01,53043
11669,1188,4086,69547,2022-10-02,52604
11854,1226,2645,60870,2022-10-03,45145
10071,1147,2773,64152,2022-10-04,50161
9361,979,3399,59569,2022-10-05,45830
9158,861,2196,56414,2022-10-06,44199
9306,868,4006,60164,2022-10-07,45984
10362,984,3466,67371,2022-10-08,52559
9804,837,3026,62570,2022-10-09,48903
11199,1372,3173,70634,2022-10-10,54890
9621,844,2910,55048,2022-10-11,41673
8725,912,1907,55692,2022-10-12,44148
11033,1161,2896,65066,2022-10-13,49976
10873,1139,2916,64275,2022-10-14,49347
9927,1061,3456,64051,2022-10-15,49607
10976,1563,3335,70798,2022-10-16,54924
10343,1011,2184,57235,2022-10-17,43697
10230,1064,3787,63656,2022-10-18,48575
9642,1251,3046,64027,2022-10-19,50088
10295,1016,2929,54899,2022-10-20,40659
9863,863,2473,56387,2022-10-21,43188
10192,1120,3274,65674,2022-10-22,51088
12321,1277,4897,74244,2022-10-23,55749
10310,806,4511,64411,2022-10-24,48784
11357,1074,3281,64159,2022-10-25,48447
2203,247,553,14477,2022-10-26,11474
