anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
714,258,94,3485,2021-11-10,2419
746,242,102,3353,2021-11-11,2263
810,249,111,3726,2021-11-12,2556
529,312,29,3348,2021-11-13,2478
504,284,30,3262,2021-11-14,2444
543,294,52,3113,2021-11-15,2224
609,322,88,3444,2021-11-16,2425
561,273,102,3171,2021-11-17,2235
733,237,104,3371,2021-11-18,2297
732,255,148,3306,2021-11-19,2171
771,225,174,3533,2021-11-20,2363
487,296,62,3212,2021-11-21,2367
464,251,56,3017,2021-11-22,2246
526,293,65,3052,2021-11-23,2168
543,274,104,3137,2021-11-24,2216
486,231,71,2844,2021-11-25,2056
645,222,195,3139,2021-11-26,2077
677,245,194,3226,2021-11-27,2110
804,245,229,3732,2021-11-28,2454
487,279,118,3124,2021-11-29,2240
474,243,41,2950,2021-11-30,2192
519,288,43,2922,2021-12-01,2072
598,287,63,3193,2021-12-02,2245
809,336,122,4386,2021-12-03,3119
1022,330,134,4824,2021-12-04,3338
1283,390,116,5522,2021-12-05,3733
1253,361,123,5407,2021-12-06,3670
928,438,93,5469,2021-12-07,4010
1315,597,271,8286,2021-12-08,6103
1300,580,320,8613,2021-12-09,6413
1257,544,415,7789,2021-12-10,5573
1205,531,411,7485,2021-12-11,5338
1415,537,438,8192,2021-12-12,5802
1467,566,407,7863,2021-12-13,5423
1020,339,348,5830,2021-12-14,4123
757,403,269,5585,2021-12-15,4156
710,351,259,5348,2021-12-16,4028
751,361,272,5799,2021-12-17,4415
720,380,307,5488,2021-12-18,4081
860,432,309,5931,2021-12-19,4330
993,373,365,6062,2021-12-20,4331
1053,386,358,5864,2021-12-21,4067
1006,367,414,6002,2021-12-22,4215
680,418,291,5686,2021-12-23,4297
727,391,309,5651,2021-12-24,4224
761,398,316,6343,2021-12-25,4868
804,406,306,5870,2021-12-26,4354
826,421,317,5924,2021-12-27,4360
805,307,368,5056,2021-12-28,3576
990,363,378,5843,2021-12-29,4112
1030,345,383,5786,2021-12-30,4028
661,331,231,5091,2021-12-31,3868
558,319,276,4920,2022-01-01,3767
689,335,315,5557,2022-01-02,4218
598,304,249,4533,2022-01-03,3382
722,359,246,4914,2022-01-04,3587
1000,312,317,5553,2022-01-05,3924
1045,355,386,5836,2022-01-06,4050
941,291,385,5352,2022-01-07,3735
715,380,276,5425,2022-01-08,4054
768,395,271,5867,2022-01-09,4433
791,346,274,5553,2022-01-10,4142
736,406,236,5394,2022-01-11,4016
705,369,296,5163,2022-01-12,3793
1006,381,419,6019,2022-01-13,4213
989,368,428,5759,2022-01-14,3974
883,322,429,5568,2022-01-15,3934
700,409,294,5628,2022-01-16,4225
743,398,333,5868,2022-01-17,4394
730,378,326,5600,2022-01-18,4166
666,355,285,4947,2022-01-19,3641
712,382,298,5206,2022-01-20,3814
1025,352,353,5746,2022-01-21,4016
952,334,412,5521,2022-01-22,3823
929,317,436,5653,2022-01-23,3971
685,375,284,5364,2022-01-24,4020
692,396,298,5722,2022-01-25,4336
822,390,276,5875,2022-01-26,4387
502,282,215,4045,2022-01-27,3046
557,322,319,4601,2022-01-28,3403
735,278,437,4663,2022-01-29,3213
871,331,441,5244,2022-01-30,3601
956,312,368,5508,2022-01-31,3872
538,326,262,4372,2022-02-01,3246
670,393,243,5319,2022-02-02,4013
658,330,183,4558,2022-02-03,3387
529,281,208,4073,2022-02-04,3055
737,408,295,5355,2022-02-05,3915
891,335,368,5457,2022-02-06,3863
886,350,325,5216,2022-02-07,3655
821,272,300,4746,2022-02-08,3353
652,349,189,4720,2022-02-09,3530
640,386,257,5252,2022-02-10,3969
655,383,236,4866,2022-02-11,3592
444,243,197,3672,2022-02-12,2788
700,386,244,5012,2022-02-13,3682
949,328,327,5268,2022-02-14,3664
838,302,292,4628,2022-02-15,3196
800,224,298,4383,2022-02-16,3061
593,301,216,4262,2022-02-17,3152
620,329,208,4820,2022-02-18,3663
541,307,243,4161,2022-02-19,3070
503,244,241,3753,2022-02-20,2765
566,330,299,4424,2022-02-21,3229
720,254,411,4135,2022-02-22,2750
977,373,381,5296,2022-02-23,3565
992,332,381,5555,2022-02-24,3850
737,377,294,5286,2022-02-25,3878
662,355,340,5606,2022-02-26,4249
661,344,247,5239,2022-02-27,3987
564,288,161,4212,2022-02-28,3199
775,379,281,5424,2022-03-01,3989
953,380,342,5752,2022-03-02,4077
969,404,361,5746,2022-03-03,4012
1085,302,389,5609,2022-03-04,3833
1051,394,310,5713,2022-03-05,3958
1141,411,302,6353,2022-03-06,4499
883,349,297,5244,2022-03-07,3715
807,321,187,4698,2022-03-08,3383
841,348,240,4972,2022-03-09,3543
1178,338,203,5564,2022-03-10,3845
1093,354,203,5077,2022-03-11,3427
1062,233,229,4613,2022-03-12,3089
1050,341,183,5388,2022-03-13,3814
1246,461,199,6915,2022-03-14,5009
1083,345,233,5469,2022-03-15,3808
1025,422,185,5684,2022-03-16,4052
908,395,165,4711,2022-03-17,3243
1228,312,172,5067,2022-03-18,3355
1169,434,255,5405,2022-03-19,3547
1140,285,163,4642,2022-03-20,3054
910,370,145,4863,2022-03-21,3438
789,283,117,4681,2022-03-22,3492
743,235,95,3570,2022-03-23,2497
724,324,103,4429,2022-03-24,3278
788,396,113,4352,2022-03-25,3055
1179,383,169,5251,2022-03-26,3520
1286,503,277,6121,2022-03-27,4055
935,292,190,4256,2022-03-28,2839
1012,449,251,5272,2022-03-29,3560
914,369,308,5432,2022-03-30,3841
1075,395,343,6074,2022-03-31,4261
872,395,228,5055,2022-04-01,3560
939,482,177,5002,2022-04-02,3404
1181,386,270,5182,2022-04-03,3345
1268,482,217,5378,2022-04-04,3411
1063,282,172,4301,2022-04-05,2784
1006,456,177,5083,2022-04-06,3444
1170,429,174,6129,2022-04-07,4356
835,328,185,5005,2022-04-08,3657
695,328,138,4251,2022-04-09,3090
860,350,144,4446,2022-04-10,3092
1128,337,186,4798,2022-04-11,3147
1220,416,146,5087,2022-04-12,3305
1027,248,186,4273,2022-04-13,2812
868,353,132,4459,2022-04-14,3106
1069,377,158,5395,2022-04-15,3791
855,279,157,4654,2022-04-16,3363
726,300,128,3929,2022-04-17,2775
929,347,177,4411,2022-04-18,2958
1135,349,223,4786,2022-04-19,3079
1121,408,196,4616,2022-04-20,2891
1040,267,182,4190,2022-04-21,2701
847,344,136,3921,2022-04-22,2594
885,313,185,4738,2022-04-23,3355
898,346,178,5049,2022-04-24,3627
677,311,124,3831,2022-04-25,2719
617,331,147,3391,2022-04-26,2296
969,301,172,4028,2022-04-27,2586
1123,436,167,4474,2022-04-28,2748
1050,302,144,4240,2022-04-29,2744
880,406,144,4352,2022-04-30,2922
921,314,200,4912,2022-05-01,3477
962,363,238,5401,2022-05-02,3838
719,346,186,4230,2022-05-03,2979
879,390,178,4177,2022-05-04,2730
1076,346,227,4492,2022-05-05,2843
1132,374,192,4326,2022-05-06,2628
928,216,184,3732,2022-05-07,2404
694,282,188,3633,2022-05-08,2469
715,237,122,3995,2022-05-09,2921
834,315,146,4665,2022-05-10,3370
786,328,129,4198,2022-05-11,2955
1054,490,152,4961,2022-05-12,3265
1169,371,164,4577,2022-05-13,2873
1151,452,165,4769,2022-05-14,3001
950,250,122,3855,2022-05-15,2533
840,406,109,4203,2022-05-16,2848
1015,404,100,5085,2022-05-17,3566
906,426,118,5209,2022-05-18,3759
728,303,93,3877,2022-05-19,2753
831,345,78,3684,2022-05-20,2430
931,273,141,3932,2022-05-21,2587
1124,443,152,4545,2022-05-22,2826
930,252,122,3607,2022-05-23,2303
770,364,95,3720,2022-05-24,2491
907,313,135,4518,2022-05-25,3163
865,398,95,5028,2022-05-26,3670
587,250,71,3145,2022-05-27,2237
550,270,102,2833,2022-05-28,1911
848,233,110,3497,2022-05-29,2306
945,364,172,3779,2022-05-30,2298
920,239,94,3497,2022-05-31,2244
671,302,100,3264,2022-06-01,2191
710,307,150,4011,2022-06-02,2844
