anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
27,17,5,1240,2021-11-10,1191
21,18,5,1288,2021-11-11,1244
21,18,0,1131,2021-11-12,1092
18,17,1,1183,2021-11-13,1147
23,17,1,1454,2021-11-14,1413
28,21,11,1901,2021-11-15,1841
33,19,4,1653,2021-11-16,1597
25,15,3,1203,2021-11-17,1160
22,20,3,1237,2021-11-18,1192
31,17,7,1251,2021-11-19,1196
22,15,4,1059,2021-11-20,1018
19,19,0,1130,2021-11-21,1092
18,17,14,1361,2021-11-22,1312
23,16,36,1864,2021-11-23,1789
26,16,23,1526,2021-11-24,1461
19,16,14,1079,2021-11-25,1030
23,16,6,1127,2021-11-26,1082
32,19,18,1242,2021-11-27,1173
12,16,14,1099,2021-11-28,1057
33,19,10,1099,2021-11-29,1037
18,18,13,1329,2021-11-30,1280
26,19,0,1817,2021-12-01,1772
25,17,0,1561,2021-12-02,1519
24,21,2,1734,2021-12-03,1687
25,22,4,1796,2021-12-04,1745
28,21,3,2180,2021-12-05,2128
15,20,4,1799,2021-12-06,1760
22,21,20,2093,2021-12-07,2030
25,39,10,3482,2021-12-08,3408
31,37,18,3998,2021-12-09,3912
29,34,49,3375,2021-12-10,3263
41,27,46,2958,2021-12-11,2844
37,28,9,3184,2021-12-12,3110
24,32,5,3128,2021-12-13,3067
12,19,5,1972,2021-12-14,1936
24,14,7,2178,2021-12-15,2133
20,20,6,2209,2021-12-16,2163
18,26,11,2911,2021-12-17,2856
13,25,1,2441,2021-12-18,2402
14,23,3,2347,2021-12-19,2307
20,24,4,2250,2021-12-20,2202
23,20,9,2390,2021-12-21,2338
15,17,8,2063,2021-12-22,2023
8,19,10,2183,2021-12-23,2146
11,19,13,2341,2021-12-24,2298
14,19,13,3080,2021-12-25,3034
12,19,12,2700,2021-12-26,2657
18,24,10,2237,2021-12-27,2185
13,13,2,1859,2021-12-28,1831
16,18,7,2379,2021-12-29,2338
13,23,7,2048,2021-12-30,2005
12,12,1,1837,2021-12-31,1812
13,16,3,2100,2022-01-01,2068
14,20,7,2734,2022-01-02,2693
17,20,8,2214,2022-01-03,2169
13,15,8,1801,2022-01-04,1765
19,24,5,2049,2022-01-05,2001
26,18,7,2313,2022-01-06,2262
18,14,11,1979,2022-01-07,1936
16,17,6,1971,2022-01-08,1932
15,23,10,2422,2022-01-09,2374
21,14,14,2751,2022-01-10,2702
12,13,4,2606,2022-01-11,2577
16,16,18,1857,2022-01-12,1807
18,25,4,2228,2022-01-13,2181
22,20,18,2319,2022-01-14,2259
16,24,1,2079,2022-01-15,2038
10,23,7,2006,2022-01-16,1966
16,19,12,2466,2022-01-17,2419
15,15,10,2752,2022-01-18,2712
34,18,7,2391,2022-01-19,2332
28,19,5,1870,2022-01-20,1818
21,22,5,2111,2022-01-21,2063
14,14,1,2268,2022-01-22,2239
12,23,6,2073,2022-01-23,2032
4,17,2,1941,2022-01-24,1918
21,22,2,2364,2022-01-25,2319
12,19,5,2801,2022-01-26,2765
13,17,4,2055,2022-01-27,2021
13,18,1,1667,2022-01-28,1635
14,21,5,1706,2022-01-29,1666
34,23,2,2134,2022-01-30,2075
27,11,8,2063,2022-01-31,2017
19,11,2,1493,2022-02-01,1461
26,10,3,2212,2022-02-02,2173
18,10,3,2245,2022-02-03,2214
35,14,1,2064,2022-02-04,2014
20,19,2,1956,2022-02-05,1915
18,9,6,2039,2022-02-06,2006
25,10,5,2054,2022-02-07,2014
11,9,1,1821,2022-02-08,1800
18,8,12,1683,2022-02-09,1645
11,13,4,2136,2022-02-10,2108
23,20,3,2370,2022-02-11,2324
8,15,1,1905,2022-02-12,1881
17,20,7,1836,2022-02-13,1792
19,12,14,1971,2022-02-14,1926
14,9,5,1773,2022-02-15,1745
12,9,1,1706,2022-02-16,1684
23,13,6,1440,2022-02-17,1398
49,14,4,1977,2022-02-18,1910
72,10,31,2164,2022-02-19,2051
50,6,14,1860,2022-02-20,1790
25,10,13,1667,2022-02-21,1619
35,7,40,1834,2022-02-22,1752
46,8,12,2073,2022-02-23,2007
70,15,5,2230,2022-02-24,2140
30,7,9,1944,2022-02-25,1898
60,20,3,2202,2022-02-26,2119
91,6,7,2613,2022-02-27,2509
